"Comparison","Pval_raw","Stat","Df","Pval_FDR"
"Single Resting vs Paired Resting",0.000999000999000999,39.9076416903699,1,0.00142714428428714
"Single Resting vs Paired Watching",0.000999000999000999,191.599402443577,1,0.00142714428428714
"Single Resting vs Following",0.000999000999000999,138.751960208794,1,0.00142714428428714
"Single Resting vs Leading",0.000999000999000999,86.931689600191,1,0.00142714428428714
"Paired Resting vs Paired Watching",0.000999000999000999,57.8291535460066,1,0.00142714428428714
"Paired Resting vs Following",0.000999000999000999,30.3758790011434,1,0.00142714428428714
"Paired Resting vs Leading",0.002997002997003,9.16873205530828,1,0.00374625374625375
"Paired Watching vs Following",0.02997002997003,4.42586048580415,1,0.02997002997003
"Paired Watching vs Leading",0.000999000999000999,21.0619537447164,1,0.00142714428428714
"Following vs Leading",0.00899100899100899,6.1924678844407,1,0.00999000999000999
